Date,Duration,Data_Usage,Call_Type
2025-12-06 12:07:06.391434,243,0.0,Roaming
2025-12-22 10:19:31.391434,3488,0.0,Internal
2025-12-13 19:50:01.391434,3591,0.0,Internal
2025-12-20 23:40:30.391434,1507,450.1,International
2025-12-21 04:05:59.391434,3093,384.31,International
2025-12-18 23:20:44.391434,909,0.0,Internal
2025-12-08 20:00:44.391434,2410,340.38,Internal
2025-12-24 09:45:47.391434,2824,350.69,Internal
2025-12-25 07:38:41.391434,3104,478.93,International
2025-12-23 03:57:40.391434,639,129.2,Internal
2025-12-01 01:35:22.391434,3218,370.52,Internal
2025-12-28 14:27:30.391434,770,193.1,Internal
2025-12-15 23:53:28.391434,2980,333.51,International
2025-11-30 06:50:59.391434,3497,65.53,Internal
2025-12-08 14:46:23.391434,2421,418.36,International
2025-11-30 08:40:21.391434,606,293.67,Internal
2025-12-15 00:23:44.391434,446,271.04,Internal
2025-12-28 11:50:41.391434,1458,0.0,Roaming
2025-11-28 13:01:39.391434,1225,166.13,International
2025-12-08 00:04:13.391434,2452,210.83,International
2025-12-27 14:30:42.391434,3239,149.52,International
2025-12-01 05:54:02.391434,2647,293.63,Internal
2025-12-07 22:32:01.391434,1256,0.0,Internal
2025-12-22 15:30:08.391434,897,287.7,Emergency
2025-12-18 04:47:33.391434,345,0.0,Internal
2025-12-05 07:53:48.391434,1903,251.1,Roaming
2025-12-15 22:57:38.391434,2345,282.8,Roaming
2025-12-26 06:42:57.391434,1895,310.51,Internal
2025-12-23 17:38:27.391434,2402,0.0,Internal
2025-12-21 04:58:24.391434,742,454.74,International
2025-12-26 20:38:53.391434,354,460.04,Internal
2025-11-29 15:48:07.391434,2078,61.64,Internal
2025-12-09 04:00:03.391434,244,473.98,Internal
2025-12-04 08:40:46.391434,685,0.0,Internal
2025-12-11 20:08:36.391434,3024,74.55,International
2025-12-05 21:55:31.391434,1002,147.83,Internal
2025-12-23 10:08:12.391434,845,334.54,Internal
2025-12-07 03:17:06.391434,2252,281.57,Internal
2025-12-08 20:58:13.391434,2252,405.07,International
2025-12-26 00:37:26.391434,1414,404.39,Internal
2025-12-23 14:43:04.391434,3003,0.0,Roaming
2025-11-28 22:51:30.391434,1992,5.91,Internal
2025-12-28 17:38:39.391434,1204,345.49,Internal
2025-12-17 03:02:23.391434,2794,401.88,Internal
2025-12-01 19:13:49.391434,3376,0.0,International
2025-12-27 05:22:40.391434,250,278.67,Internal
2025-12-18 22:26:15.391434,1760,429.13,Internal
2025-12-27 15:56:42.391434,3484,0.0,International
2025-12-01 01:12:30.391434,705,0.0,Internal
2025-12-11 12:15:44.391434,2615,390.15,Internal
2025-12-21 15:05:54.391434,1587,53.23,Internal
2025-12-10 13:30:01.391434,3430,0.0,International
2025-12-21 00:44:55.391434,3505,218.99,Internal
2025-12-25 23:45:56.391434,2809,328.56,Internal
2025-12-24 20:04:57.391434,637,203.51,Roaming
2025-12-26 16:43:51.391434,240,95.15,Internal
2025-12-29 05:39:31.391434,1623,10.44,Internal
2025-12-11 19:19:11.391434,2902,477.65,Internal
2025-12-19 03:10:19.391434,2847,452.76,Internal
2025-12-16 17:28:03.391434,2209,453.37,Internal
2025-12-03 10:49:59.391434,420,0.0,Internal
2025-12-20 18:04:13.391434,2344,0.0,Internal
2025-12-23 02:30:51.391434,3550,0.0,Internal
2025-12-15 16:59:08.391434,472,299.21,Internal
2025-11-29 21:00:26.391434,3183,246.07,International
2025-12-12 10:26:11.391434,1463,0.0,Emergency
2025-12-29 08:03:36.391434,2940,43.55,International
2025-12-23 00:17:13.391434,3074,0.0,International
2025-12-25 10:26:31.391434,1802,392.75,Internal
2025-12-14 08:45:44.391434,1566,57.45,International
2025-12-17 20:43:59.391434,1237,0.0,Roaming
2025-12-03 13:53:27.391434,1818,0.0,Internal
2025-12-01 18:24:25.391434,731,0.0,Internal
2025-12-20 02:09:47.391434,707,82.46,Internal
2025-12-03 13:27:34.391434,1890,455.38,International
2025-12-15 09:38:13.391434,411,0.0,Internal
2025-12-28 10:44:28.391434,852,0.0,Internal
2025-12-08 19:27:10.391434,2874,460.97,Roaming
2025-11-29 05:53:50.391434,2117,0.0,International
2025-12-12 07:25:39.391434,2816,450.11,Internal
2025-12-13 16:54:52.391434,1499,56.29,International
2025-12-01 07:46:36.391434,608,303.3,Internal
2025-12-28 06:51:40.391434,83,326.84,Internal
2025-12-07 18:00:04.391434,1123,383.6,International
2025-12-25 10:51:26.391434,1537,149.03,Internal
2025-12-05 06:22:26.391434,3204,431.91,Internal
2025-12-21 03:38:00.391434,1406,375.13,Internal
2025-12-12 21:54:07.391434,3413,0.0,International
2025-12-04 07:51:57.391434,1636,491.15,International
2025-12-10 04:50:52.391434,3461,437.55,International
2025-11-30 12:11:26.391434,2608,395.39,Internal
2025-12-25 04:35:12.391434,1107,347.96,Internal
2025-11-30 01:14:09.391434,1704,437.14,Internal
2025-12-09 07:46:37.391434,2299,0.0,Internal
2025-12-13 03:47:17.391434,2925,343.44,Internal
2025-12-23 15:22:52.391434,3591,378.78,International
2025-12-29 07:53:05.391434,2063,270.63,International
2025-12-10 04:58:54.391434,241,376.74,International
2025-12-27 17:59:57.391434,908,120.74,Internal
2025-12-24 12:54:37.391434,1045,134.75,International
2025-12-24 18:37:13.391434,3071,65.33,Internal
2025-12-06 18:20:57.391434,2074,0.0,Internal
2025-12-08 00:04:36.391434,16,147.38,Internal
2025-12-18 08:46:57.391434,131,332.26,Internal
2025-12-19 17:15:19.391434,2931,376.64,Internal
2025-12-02 09:40:27.391434,3044,0.0,International
2025-12-23 08:58:38.391434,2956,0.0,Roaming
2025-11-29 22:23:34.391434,2917,0.0,Internal
2025-12-27 23:08:23.391434,344,381.6,International
2025-12-08 04:38:25.391434,3227,414.74,Internal
2025-12-13 21:48:12.391434,1267,128.81,International
2025-12-06 09:11:51.391434,2992,454.05,Internal
2025-12-01 00:09:52.391434,1337,332.87,Internal
2025-12-03 19:57:55.391434,151,171.11,Internal
2025-12-06 03:18:10.391434,1259,15.25,Internal
2025-12-28 14:12:16.391434,3048,116.1,Internal
2025-12-14 17:29:09.391434,1828,0.0,Internal
2025-12-28 02:51:55.391434,909,0.0,Internal
2025-12-23 16:41:27.391434,2194,199.44,Internal
2025-12-14 14:53:13.391434,871,319.24,International
2025-12-14 06:37:32.391434,734,0.0,Internal
2025-12-04 15:34:18.391434,3184,0.0,Internal
2025-12-23 07:31:00.391434,554,325.01,International
2025-12-26 02:51:17.391434,313,328.37,International
2025-12-03 05:11:08.391434,2712,0.0,Internal
2025-12-24 17:04:44.391434,3395,313.04,Internal
2025-12-09 07:11:47.391434,3581,0.0,Internal
2025-12-23 03:55:02.391434,812,86.2,International
2025-12-18 22:56:02.391434,1017,159.18,International
2025-12-04 15:34:03.391434,1401,0.0,Internal
2025-12-07 23:01:21.391434,2444,81.73,International
2025-12-25 15:20:36.391434,2587,0.0,Internal
2025-12-03 02:37:42.391434,873,273.56,Emergency
2025-12-20 05:11:21.391434,1008,354.23,Internal
2025-12-24 18:56:17.391434,2448,434.33,Internal
2025-12-10 19:16:00.391434,1072,0.0,Internal
2025-12-06 14:27:22.391434,728,0.0,Emergency
2025-12-11 09:59:52.391434,2306,478.21,Roaming
2025-12-13 09:40:30.391434,2062,295.84,Internal
