Date,Duration,Data_Usage,Call_Type
2025-12-19 05:09:20.588771105,597,0.0,Internal
2025-12-28 05:29:23.479825974,2112,435.95,Internal
2025-12-22 18:04:32.586228132,892,77.22,Internal
2025-12-12 19:21:48.650402308,3119,0.0,Internal
2025-12-29 17:17:51.852900743,1175,0.0,Internal
2025-12-10 09:08:48.760878325,984,178.73,International
2025-12-08 16:36:42.421406746,1530,50.74,Internal
2025-12-23 19:44:47.760195494,2221,435.81,Internal
2025-12-19 11:54:48.212124825,2822,83.69,Internal
2025-12-03 06:23:10.667909145,710,494.09,Internal
2025-12-13 11:28:45.202236652,1923,165.66,International
2025-12-13 17:52:21.962789059,2164,0.0,Internal
2025-12-25 10:02:01.569043636,1868,419.71,International
2025-12-02 01:28:48.830002069,1443,0.0,Internal
2025-12-08 17:24:13.489319324,2438,0.0,Internal
2025-12-10 02:53:35.665321827,1087,59.39,Internal
2025-12-11 20:54:47.447202682,2887,197.6,Internal
2025-12-04 00:55:44.442476511,2107,167.5,Internal
2025-12-03 15:14:19.133411646,36,462.5,Internal
2025-12-27 15:08:34.420829535,2417,0.0,Emergency
2025-12-12 16:43:27.893678665,2951,0.0,Internal
2025-12-07 00:04:39.088707685,2912,459.74,Internal
2025-12-24 22:45:55.203967571,99,0.0,Internal
2025-12-05 01:05:06.557151318,426,0.0,Internal
2025-12-29 12:36:11.942404509,114,441.89,Internal
2025-12-22 00:08:01.386518002,1228,245.09,Internal
2025-12-15 12:24:43.123823404,3302,317.44,Internal
2025-12-01 12:28:49.095393419,1561,486.97,Internal
2025-12-07 15:33:01.642658234,3118,0.0,International
2025-12-06 11:31:24.088698387,3453,133.61,Internal
2025-12-24 11:24:58.078572989,1882,18.86,Emergency
2025-11-30 13:12:07.025360823,2034,451.25,International
2025-12-20 15:33:06.318851948,1572,391.26,Internal
2025-12-07 12:18:23.234833956,1358,156.6,Internal
2025-12-01 18:55:43.029615164,1100,328.89,International
2025-12-03 13:51:20.511741876,3080,357.26,Internal
2025-12-13 16:55:43.499958515,367,377.57,Internal
2025-12-08 17:08:06.054234266,329,252.62,International
2025-12-20 17:35:00.208376169,1771,64.02,Internal
2025-12-09 00:00:49.178357840,503,403.73,International
2025-12-17 08:51:18.713426590,2694,0.0,Roaming
2025-12-06 20:12:27.174780846,1575,416.46,Internal
2025-12-17 14:15:01.517287254,2777,0.0,Internal
2025-12-02 19:26:50.099509954,3019,311.32,Internal
2025-12-03 09:56:52.199056387,3146,411.47,Internal
2025-12-04 16:13:29.488029480,3180,461.02,International
2025-12-15 22:36:30.913039446,3236,0.0,Roaming
2025-12-13 23:27:02.489881277,1584,0.0,International
2025-12-27 09:58:11.666511774,406,473.3,Emergency
2025-12-18 01:15:12.895106077,2554,0.0,Internal
2025-12-10 16:04:23.545151472,499,297.52,International
2025-12-08 23:16:05.412070990,979,100.05,Internal
2025-12-12 16:03:02.538584232,3429,134.48,Emergency
2025-12-21 08:52:34.428777933,1515,474.27,Internal
2025-12-07 13:54:02.900840759,146,193.43,Internal
2025-12-09 20:48:50.259238005,542,302.63,Internal
